58243,1.19,2.11,0.10,-0.02,0.18,-1.19,-2.11,-2.48,-4.19,-0.18,827,446,100,504,0.0,5.0,0.0,1t
58460,1.19,2.11,-0.33,-0.21,0.06,-1.19,-2.11,-2.06,-4.01,-0.06,831,438,100,499,0.0,5.0,0.0,1t
58618,1.19,2.10,0.22,0.10,-0.00,-1.19,-2.10,-2.60,-4.30,0.00,932,533,182,584,-0.2,-8.5,-0.2,1t
58843,1.19,2.11,0.22,0.34,-0.00,-1.19,-2.11,-2.60,-4.56,0.00,943,544,192,594,-0.4,-10.3,-0.4,1t
59061,1.18,2.09,-0.09,0.10,-00,-1.18,-2.09,-2.28,-4.29,0.00,912,514,164,567,-0.2,-5.2,-0.2,1t
59218,1.20,2.09,0.04,0.04,-0.13,-1.20,-2.09,-2.43,-4.22,0.13,918,508,166,556,0.0,-5.2,0.0,1t
59443,1.20,2.10,0.04,-0.08,-0.00,-1.20,-2.10,-2.43,-4.11,0.00,914,516,158,560,0.0,-5.2,0.0,1t
59818,1.21,2.10,-0.03,0.04,-0.00,-1.21,-2.10,-2.40,-4.24,0.00,916,517,156,558,0.0,-5.2,0.0,1t
60043,1.21,2.11,0.04,0.04,-0.00,-1.21,-2.11,-2.47,-4.25,0.00,917,518,156,558,-0.1,-5.2,-0.1,1t
60418,1.21,2.11,-0.03,0.04,-0.00,-1.21,-2.11,-2.40,-4.25,0.00,848,449,100,484,0.0,5.0,0.0,1t
60643,1.22,2.10,0.16,0.04,-0.00,-1.22,-2.10,-2.60,-4.25,0.00,817,418,100,449,0.1,10.1,0.1,1t
61018,1.23,2.09,0.16,-0.08,-0.00,-1.23,-2.09,-2.61,-4.10,0.00,852,454,100,478,0.1,5.0,0.1,1t
61243,1.23,2.09,-0.03,0.04,0.18,-1.23,-2.09,-2.43,-4.22,-0.18,844,462,100,488,0.1,5.0,0.1,1t
61461,1.22,2.10,-0.03,-0.08,-0.07,-1.22,-2857,453,100,473,0.1,5.1,0.1,1t
61618,1.21,2.08,-0.09,0.04,0.06,-1.21,-2.08,-2.33,-4.20,-0.06,852,460,100,479,0.1,5.0,0.1,1t
61843,1.20,2.08,0.04,-0.27,0.18,-1.20,-2.08,-2.43,-3.90,-0.18,851,469,100,481,0.1,5.0,0.1,1t
62061,1.19,2.07,-0.15,-0.02,0.12,-1.19,-2.07,-2.24,-4.12,-0.12,815,427,100,445,0.1,10.1,0.1,1t
62218,1.19,2.07,0.10,0.10,012.48,-4.24,-0.06,863,471,100,481,0.1,4.1,0.1,1t
62443,1.19,2.07,0.04,-0.08,-0.13,-1.19,-2.07,-2.42,-4.05,0.13,865,456,100,467,0.0,5.0,0.0,1t
62661,1.19,2.07,0.04,0.04,0.06,-1.19,-2.07,-2.41,-4.17,-0.06,824,431,100,437,0.0,10.1,0.0,1t
63043,1.20,2.07,-0.03,-0.21,0.06,-1.20,-2.07,-2.38,-3.93,-0.06,861,468,100,471,0.1,5.0,0.1,1t
63261,1.20,2.07,-0.21,-0.33,0.18,-1.20,-2.07,-2.18,-3.81,-0.18,854,473,100,477,0.1,5.0,0.1,1t
63644,1.17,2.06,-0.09,-0.02,-0.80,-1.17,-2.06,-2.26,-4.11,0.80,868,397,100,397,0.1,10.1,0.1,1t
63861,1.07,2.08,1.20,1.26,5.98,-1.07,-2.08,-3.34,-5.42,-5.98,569,569,100,574,-0.4,20.6,-0.4,1t
64462,1.23,2.37,-0.15,-1.31,-1.35,-1.23,-2.37,-2.31,-3.43,1.35,999,456,210,456,0.0,-4.6,0.0,1t
64844,1.22,2.23,-0.09,-0.27,0.18,-1.22,-2.23,-2.36,-4.20,-0.18,948,533,149,533,-0.4,-5.2,-0.4,1t
65061,1.25,2.22,-0.09,0.10,-0.00,-1.25,-2.22,-2.41,-4.53,0.00,847,419,100,419,0.1,10.1,0.1,1t
65218,1.23,2.22,0.04,0.65,-0.55,-1.23,-2.22,-2.50,-5.09,0.55,905,428,105,428,0.0,5.0,0.0,1t
65444,1.23,2.20,0.10,-0.21,10,-2.55,-4.19,0.80,945,445,145,445,-0.3,-0.1,-0.3,1t
65661,1.24,2.23,0.34,-0.33,0.36,-1.24,-2.23,-2.81,-4.14,-0.36,864,469,100,469,0.1,4.9,0.1,1t
65818,1.23,2.20,0.16,0.46,0.06,-1.23,-2.20,-2.61,-4.87,-0.06,879,455,100,455,-0.1,5.0,-0.1,1t
66261,1.25,2.20,0.04,0.10,0.85,-1.25,-2.20,-2.53,-4.49,-0.85,950,597,150,597,-1.1,-10.2,-1.1,1t
66419,1.25,2.20,-0.15,-0.51,0.61,-1.25,-2.20,-2.36,-3.89,-0.61,932,557,132,557,-1.3,-5.2,-1.3,1t
66861,1.16,2.71,-0.45,5.41,-0.61,-1.16,-2.71,-1.86,-10.82,0.61,999,583,278,583,-2.1,-20.5,-2.1,1t
67019,1.33,2.86,4.37,-11.01,5.00,-1.33,-2.86,-7.02,5.30,-5.00,795,866,100,795,-2.1,-20.5,-2.1,1t
67461,1.30,2.31,0.10,0.34,-0.13,-1.30,-2.31,-2.69,-4.96,0.13,999,610,251,610,-2.1,-20.5,-2.1,1t
67618,1.28,2.30,0.04,0.53,-3.36,-1.28,-2.30,-2.60,-5.12,3.36,999,463,398,463,-2.1,-20.5,-2.1,1t
68061,1.29,2.33,0.83,0.65,2.93,-1.29,-2.33,-3.41,-5.31,-2.93,914,746,114,746,-2.1,-20.5,-2.1,1t
68219,1.29,2.28,-0.03,0.71,-0.43,-1.29,-2.28,-2.55,-5.26,0.43,999,596,265,596,-2.1,-20.5,-2.1,1t
68443,1.29,2.29,0.16,0.59,-0.13,-1.29,-2.29,-2.73,-5.17,0.13,999,610,251,610,-2.1,-20.5,-2.1,1t
68819,1.29,2.29,0.22,-0.02,0.06,-1.29,-2.29,-2.79,-4.56,-0.06,999,618,243,618,-2.1,-20.5,-2.1,1t
69044,1.28,2.29,0.10,-0.15,-0.00,-1.28,-2.29,-2.66,-4.44,0.00,999,615,246,615,-2.1,-20.5,-2.1,1t
69418,1.27,2.29,-0.15,0.16,0.06,-1.27,-2.29,-2.40,-4.74,-0.06,894,468,100,468,-1.2,20.2,-1.2,1t
69644,1.27,2.29,-0.09,0.04,-0.19,-1.27,-2.29,-2.45,-4.61,0.19,999,631,280,631,-2.0,-5.2,-2.0,1t
70018,1.28,2.29,0.04,-0.02,0.06,-1.28,-2.29,-2.59,-4.56,-0.06,999,661,286,661,-1.7,-8.5,-1.7,1t
70243,1.28,2.28,-0.09,-0.21,0.06,-1.28,-2.28,-2.47,-4.36,-0.06,999,641,266,641,-1.8,-5.2,-1.8,1t
