timestamp_ms,roll,pitch,rate_roll,rate_pitch,rate_yaw,error_angle_roll,error_angle_pitch,error_rate_roll,error_rate_pitch,error_rate_yaw,motor1,motor2,motor3,motor4,altitude,velocity,lidar_raw,armed
46170,-3.07,-0.95,0.06,-3.56,26.48,3.07,0.95,6.08,5.46,-26.48,160,683,100,317,0.5,35.6,0.5,1t
46771,-4.58,-0.60,-7.45,-6.37,12.75,4.58,0.60,16.60,7.57,-12.75,134,402,100,598,0.2,13.2,0.2,1t
47146,-5.13,1.04,-8.18,-16.44,23.73,5.13,-1.04,18.44,14.37,-23.73,100,543,401,457,0.2,25.3,0.2,1t
47370,-5.27,1.94,-9.83,0.53,0.11,5.27,-1.94,20.37,-4.41,-0.11,280,167,264,489,0.0,5.3,0.0,1t
47971,-4.46,3.29,-20.51,5.65,1.82,4.46,-3.29,29.43,-12.23,-1.82,100,318,328,696,0.0,-4.4,0.0,1t
48345,3.37,1.73,15.50,-6.55,-5.44,-3.37,-1.73,-22.24,3.09,5.44,761,348,650,328,3.6,20.0,3.6,1t
48721,0.38,-1.01,-31.25,-1.85,13.17,-16.38,1.01,-1.51,3.88,-13.17,475,830,525,970,12.3,-3.6,12.3,1t
49171,-9.04,-0.41,-13.73,4.49,12.68,-6.96,0.41,-0.19,-3.67,-12.68,222,596,201,627,12.7,-10.7,12.7,1t
49321,-8.17,-0.55,0.92,-8.08,-14.17,-7.83,0.55,-16.57,9.18,14.17,790,501,806,296,4.4,-34.8,4.4,1t
49772,-8.17,-0.57,99.25,89.34,6.21,-7.83,0.57,-114.92,-88.19,-6.21,621,621,100,621,1.4,-4.0,1.4,1t
49921,-7.21,-1.50,-23.99,-6.37,-12.65,-8.79,1.50,6.40,9.37,12.65,894,441,698,351,1.3,19.0,1.3,1t
50521,-10.64,-1.16,-4.94,4.56,4.20,-5.36,1.16,-5.78,-2.24,-4.20,304,826,401,679,6.2,-22.3,6.2,1t
50971,-8.50,2.90,-31.86,42.22,14.27,-7.50,13.10,16.86,-16.01,-14.27,219,596,136,560,2.2,10.1,2.2,1t
51120,-5.67,2.60,6.77,31.72,-0.32,5.67,13.40,4.56,-4.92,0.32,194,721,352,260,1.5,9.3,1.5,1t
51346,-1.99,5.03,54.44,-5.52,14.76,17.99,-5.03,-18.46,-4.54,-14.76,159,689,187,456,1.5,8.5,1.5,1t
51722,-26.63,8.09,-238.78,91.11,450.75,42.63,-24.09,324.04,-139.28,-450.75,100,274,274,726,3.1,29.4,3.1,1t
51947,-9.48,20.90,167.42,-115.50,139.58,25.48,-36.90,-116.46,41.71,-139.58,218,735,223,507,2.5,-1.7,2.5,1t
52246,-4.77,-4.91,-8.61,-184.35,16.29,20.77,-11.09,50.15,162.17,-16.29,155,446,100,554,4.1,43.1,4.1,1t
52388,-13.43,-5.15,6.71,156.54,-44.20,29.43,-10.85,52.15,-178.24,44.20,999,208,208,208,4.2,-0.9,4.2,1t
52546,-8.02,12.08,-62.81,121.14,17.93,8.02,-28.08,78.84,-177.31,-17.93,253,581,581,999,1.9,-32.7,1.9,1t
52996,3.46,8.15,200.87,77.43,14.76,-3.46,-24.15,-207.79,-125.73,-14.76,500,500,100,500,2.1,29.0,2.1,1t
53213,-0.60,10.51,3.05,1.99,69.94,0.60,-26.51,-1.84,-55.02,-69.94,474,474,100,894,1.0,-11.7,1.0,1t
53596,-7.66,-3.31,-18.25,96.36,-20.34,7.66,-12.69,33.57,-121.74,20.34,900,100,100,100,1.1,-17.6,1.1,1t
53746,-8.13,-1.50,1.34,-2.65,-13.50,8.13,-14.50,14.92,-26.36,13.50,524,100,476,428,0.6,10.2,0.6,1t
